,Unnamed: 0,stop_name,next_stop_name,trip_count,frequency,total_passengers,totalTripTime,distance,OriginLat,OriginLon,DestLat,DestLon,stop_city,next_stop_city,stop_city_distance,next_stop_city_distance,capacity
0,0,Aachen Hbf,Aachen Süd(Gr),12,2600.0,2472,102.0,3.0883503971866166,50.7678,6.091499,50.731915,6.04541,Moenchengladbach,Moenchengladbach,59.05410835537069,64.1321414042632,8112
1,1,Aachen Hbf,Düren,8,884.0,1648,348.0,30.866346398123,50.7678,6.091499,50.809517,6.482451,Moenchengladbach,Moenchengladbach,59.05410835537069,46.834526552827164,5408
2,2,Aachen Hbf,Herzogenrath,2,676.0,412,316.0,15.453692146497769,50.7678,6.091499,50.870914,6.094486,Moenchengladbach,Moenchengladbach,59.05410835537069,49.24102886534925,1352
3,3,Aachen Hbf,Köln Hbf,39,4680.0,8034,107.0,76.61925241299436,50.7678,6.091499,50.94303,6.958729,Moenchengladbach,Cologne,59.05410835537069,15.529488516506833,26364
4,4,Aachen Süd(Gr),Aachen Hbf,39,4680.0,8034,107.0,3.088350397186616,50.731915,6.04541,50.7678,6.091499,Moenchengladbach,Moenchengladbach,64.1321414042632,59.05410835537069,26364
5,5,Aalen Hbf,Ellwangen,11,3068.0,2266,126.0,15.50292858709716,48.84168,10.09613,48.96439,10.129664,Stuttgart,Stuttgart,66.4431541995616,73.3050110060249,7436
6,6,Aalen Hbf,Schwäbisch Gmünd,12,3276.0,2472,175.0,26.020752365756906,48.84168,10.09613,48.80097,9.787504,Stuttgart,Stuttgart,66.4431541995616,43.3874882778067,8112
7,7,Altena(Westf),Letmathe,14,2236.0,2884,99.0,8.71335774521884,51.302013,7.668693,51.362785,7.61801,Dortmund,Dortmund,24.38161437724915,17.306636702530795,9464
8,8,Altena(Westf),Werdohl,11,1872.0,2266,192.0,9.53697506264792,51.301956,7.668576,51.259476,7.757887,Dortmund,Dortmund,24.38656368709184,30.52817570702579,7436
9,9,Altenbeken,Kassel-Wilhelmshöhe,1,104.0,206,301.0,88.24681653799688,51.766296,8.94298,51.312435,9.448181,Paderborn,Kassel,28.231125053594372,12.46701376688958,676
10,10,Altenbeken,Paderborn Hbf,7,780.0,1442,300.0,17.325860779482234,51.766296,8.94298,51.71298,8.740505,Paderborn,Paderborn,28.231125053594372,13.959288776249021,4732
11,11,Altenbeken,Warburg(Westf),8,1716.0,1648,336.0,37.048710509209485,51.766296,8.94298,51.49288,9.164163,Paderborn,Kassel,28.231125053594372,17.50181362876721,5408
12,12,Andernach,Koblenz Hbf,5,468.0,1030,439.0,17.83252446277699,50.434544,7.404839,50.35093,7.588345,Cologne,Cologne,51.44040215393204,65.39529694351178,3380
13,13,Andernach,Remagen,2,468.0,412,448.0,20.54125150722777,50.434544,7.404839,50.577213,7.229779,Cologne,Cologne,51.44040215393204,32.69708120611175,1352
14,14,Angermünde,Eberswalde Hbf,15,1820.0,3090,423.0,25.602792377838647,53.01574,13.995672,52.833805,13.796755,Berlin,Berlin,77.64099437130663,53.808126446441925,10140
15,15,Angermünde,Pasewalk,1,104.0,206,332.0,62.79088322716178,53.015793,13.995908,53.51519,13.988988,Berlin,Laage,77.65293464335602,121.51728244746762,676
16,16,Angermünde,Prenzlau,16,2028.0,3296,567.0,39.53173811507827,53.015793,13.995908,53.32162,13.86654,Berlin,Berlin,77.65293464335602,107.31892233477284,10816
17,17,Anklam,Pasewalk,13,1560.0,2678,423.0,42.86674655607924,53.85625,13.701518,53.515354,13.988875,Laage,Laage,93.83276847327296,121.50340998381992,8788
18,18,Anklam,Züssow,17,2132.0,3502,567.0,16.586847141684455,53.8563,13.701554,53.972515,13.550179,Laage,Laage,93.83466463497749,83.73099414331219,11492
19,19,Ansbach,Crailsheim,12,3276.0,2472,175.0,46.97769554798477,49.29889,10.577582,49.138126,10.064572,Nuernberg,Stuttgart,42.58510087984556,79.36630953637858,8112
20,20,Ansbach Bahnhof,Nürnberg Hbf,11,3068.0,2266,126.0,43.67732192969221,49.299145,10.578166,49.44801,11.082327,Nuernberg,Nuernberg,42.5340613379163,5.646066492798107,7436
