OriginAirport,DestinationAirport,num_unique_flights,Distance,FlightFrequency,aircraft,dep_airport_name,dep_city,des_airport_name,des_city,Primary_Aircraft,EmissionsPerFlight,Total Fuel,TotalEmissions,Avg Passengers per Flight,Total Passengers Transported,OriginLat,OriginLong,DestLat,DestLong
EDDB,EDDM,223,464.28745717755305,3516,"{'A320': 0.3919226393629124, 'A321': 0.23890784982935154, 'A319': 0.14562002275312855, 'A20N': 0.07992036405005688, 'CRJ9': 0.04152445961319681}",Berlin-Schönefeld Airport,Berlin,Munich Airport,Munich,A320,2463065.2727261893,8660137498.905281,27366.034496540688,107.99999999999997,379727.9999999999,52.380001,13.5225,48.353802,11.7861
EDDF,EDDM,213,299.07823235363145,3884,"{'A320': 0.35942327497425336, 'A321': 0.3063851699279094, 'A319': 0.13182286302780638, 'B789': 0.06616889804325438, 'A20N': 0.06282183316168898}",Frankfurt am Main Airport,Frankfurt,Munich Airport,Munich,A320,1995703.349379917,7751311808.991597,24494.145316413447,100.28785773826063,389518.0394554043,50.033333,8.570556,48.353802,11.7861
EDDM,EDDF,205,299.07823235363145,3948,"{'A320': 0.36448834853090173, 'A321': 0.3118034447821682, 'A319': 0.12917933130699089, 'B789': 0.06534954407294832, 'A20N': 0.06306990881458967}",Munich Airport,Munich,Frankfurt am Main Airport,Frankfurt,A320,1995703.349379917,7879036823.351912,24897.756361792042,100.4426362896664,396547.5280716029,48.353802,11.7861,50.033333,8.570556
EDDM,EDDL,188,485.82278259661393,4126,"{'A320': 0.35918565196316043, 'A319': 0.35167232186136693, 'CRJ9': 0.14929714008725156, 'A321': 0.04411051866214251, 'A20N': 0.04289869122636936}",Munich Airport,Munich,Düsseldorf Airport,Duesseldorf,A320,2523841.795459241,10413371248.064829,32906.25314388486,108.0,445608.0,48.353802,11.7861,51.289501,6.76678
EDDL,EDDM,173,485.82278259661393,4110,"{'A320': 0.3586374695863747, 'A319': 0.35766423357664234, 'CRJ9': 0.14768856447688564, 'A20N': 0.045012165450121655, 'A321': 0.04184914841849149}",Düsseldorf Airport,Duesseldorf,Munich Airport,Munich,A320,2523841.795459241,10372989779.33748,32778.64770270644,108.00000000000001,443880.00000000006,51.289501,6.76678,48.353802,11.7861
EDDM,EDDB,165,464.28745717755305,3484,"{'A320': 0.3949483352468427, 'A321': 0.2431113662456946, 'A319': 0.14695752009184845, 'A20N': 0.0812284730195178, 'CRJ9': 0.04161882893226177}",Munich Airport,Munich,Berlin-Schönefeld Airport,Berlin,A320,2463065.2727261893,8581319410.178043,27116.969336162616,108.0,376272.0,48.353802,11.7861,52.380001,13.5225
EDDB,EDDF,164,432.38763330266585,4116,"{'A321': 0.45286686103012636, 'A320': 0.25583090379008744, 'A21N': 0.10617103984450924, 'A319': 0.09256559766763849, 'A20N': 0.06341107871720117}",Berlin-Schönefeld Airport,Berlin,Frankfurt am Main Airport,Frankfurt,A321,2349008.9828503854,9668520973.412186,30552.52627598251,107.99999999999999,444527.99999999994,52.380001,13.5225,50.033333,8.570556
EDDB,EDDK,153,471.30087329537974,1501,"{'A320': 0.48500999333777484, 'A319': 0.18121252498334445, 'B762': 0.12858094603597603, 'B738': 0.08127914723517655, 'F2TH': 0.02465023317788141}",Berlin-Schönefeld Airport,Berlin,Cologne Bonn Airport,Cologne,A320,2482862.052937208,3726775941.4587493,11776.611975009648,89.62721893491124,134530.45562130178,52.380001,13.5225,50.8658981323,7.1427397728
EDDF,EDDB,153,432.38763330266585,4222,"{'A321': 0.45215537659876837, 'A320': 0.2562766461392705, 'A21N': 0.10871624822359072, 'A319': 0.09095215537659877, 'A20N': 0.06489815253434392}",Frankfurt am Main Airport,Frankfurt,Berlin-Schönefeld Airport,Berlin,A321,2349008.9828503854,9917515925.594328,31339.35032487808,108.0,455976.0,50.033333,8.570556,52.380001,13.5225
EDDL,EDDF,134,188.86809167871291,1503,"{'A319': 0.37391882900864937, 'A320': 0.2967398536260812, 'CRJ9': 0.09248170326014638, 'A321': 0.07784431137724551, 'E190': 0.039254823685961414}",Düsseldorf Airport,Duesseldorf,Frankfurt am Main Airport,Frankfurt,A319,1744847.3931898053,2622505631.9642773,8287.117797007117,108.0,162324.0,51.289501,6.76678,50.033333,8.570556
EDDH,EDDF,133,411.6453715573729,3672,"{'A321': 0.4068627450980392, 'A320': 0.3428649237472767, 'A319': 0.14052287581699346, 'A20N': 0.06263616557734204, 'A21N': 0.022058823529411766}",Hamburg Airport,Hamburg,Frankfurt am Main Airport,Frankfurt,A321,2296453.5079686237,8432577281.260786,26646.944208784083,108.0,396576.0,53.630401611328,9.9882297515869,50.033333,8.570556
EDDH,EDDM,128,600.0197948113638,4266,"{'A320': 0.39756211908110645, 'A321': 0.2487107360525082, 'A319': 0.2090951711204876, 'A20N': 0.09071729957805907, 'A21N': 0.01992498827941866}",Hamburg Airport,Hamburg,Munich Airport,Munich,A320,2845567.3823704207,12139190453.192215,38359.841832087404,107.99999999999999,460727.99999999994,53.630401611328,9.9882297515869,48.353802,11.7861
EDDB,EDDL,128,479.5671978574261,1204,"{'A320': 0.53156146179402, 'A319': 0.287375415282392, 'A20N': 0.044850498338870434, 'BCS3': 0.040697674418604654, 'C56X': 0.011627906976744186}",Berlin-Schönefeld Airport,Berlin,Düsseldorf Airport,Duesseldorf,A320,2506190.8668773673,3017453803.7203503,9535.154019756308,103.20217588395285,124255.41976427923,52.380001,13.5225,51.289501,6.76678
EDDK,EDDB,127,471.30087329537974,1472,"{'A320': 0.49592391304347827, 'A319': 0.18478260869565216, 'B762': 0.1324728260869565, 'B738': 0.08355978260869565, 'F2TH': 0.012907608695652174}",Cologne Bonn Airport,Cologne,Berlin-Schönefeld Airport,Berlin,A320,2482862.052937208,3654772941.9235706,11549.082496478482,90.739357729649,133568.33457804332,50.8658981323,7.1427397728,52.380001,13.5225
EDDF,EDDH,121,411.6453715573729,3791,"{'A321': 0.405697705091005, 'A320': 0.34555526246372986, 'A319': 0.14191506198892112, 'A20N': 0.06119757319968346, 'A21N': 0.021366394091268795}",Frankfurt am Main Airport,Frankfurt,Hamburg Airport,Hamburg,A321,2296453.5079686237,8705855248.709053,27510.502585920607,108.0,409428.0,50.033333,8.570556,53.630401611328,9.9882297515869
