,stop_name,next_stop_name,Unnamed: 0,trip_id,stop_id,stop_sequence,route_short_name,next_stop_id,totalTripTime,osm_distance,OriginLat,OriginLon,DestLat,DestLon
0,Aachen Hbf,Aachen Süd(Gr),40483,2109,175106,3,ICE 79,566222.0,102.0,3.0883503971866166,50.7678,6.091499,50.731915,6.04541
1,Aachen Hbf,Düren,40167,151439,175106,0,ICE 14,104569.0,348.0,30.866346398123,50.7678,6.091499,50.809517,6.482451
2,Aachen Hbf,Herzogenrath,40216,368508,175106,0,ICE 14,49087.0,316.0,15.453692146497769,50.7678,6.091499,50.870914,6.094486
3,Aachen Hbf,Köln Hbf,40608,75587,175106,4,ICE 79,125814.0,107.0,76.61925241299436,50.7678,6.091499,50.94303,6.958729
4,Aachen Süd(Gr),Aachen Hbf,40607,75587,566222,3,ICE 79,175106.0,107.0,3.088350397186616,50.731915,6.04541,50.7678,6.091499
5,Aalen Hbf,Ellwangen,22651,42716,521377,3,IC 61,406498.0,126.0,15.50292858709716,48.84168,10.09613,48.96439,10.129664
6,Aalen Hbf,Schwäbisch Gmünd,22442,11312,521377,4,IC 61,134511.0,175.0,26.020752365756906,48.84168,10.09613,48.80097,9.787504
7,Altena(Westf),Letmathe,2364,142446,328424,8,IC 34,70107.0,99.0,8.71335774521884,51.302013,7.668693,51.362785,7.61801
8,Altena(Westf),Werdohl,2454,24344,234575,3,IC 34,464364.0,192.0,9.53697506264792,51.301956,7.668576,51.259476,7.757887
9,Altenbeken,Kassel-Wilhelmshöhe,18989,605324,85092,10,IC 51,622425.0,301.0,88.24681653799688,51.766296,8.94298,51.312435,9.448181
10,Altenbeken,Paderborn Hbf,18946,341138,85092,7,IC 51,468841.0,300.0,17.325860779482234,51.766296,8.94298,51.71298,8.740505
11,Altenbeken,Warburg(Westf),18916,200842,85092,11,IC 51,217160.0,336.0,37.048710509209485,51.766296,8.94298,51.49288,9.164163
12,Andernach,Koblenz Hbf,30426,448212,304313,22,IC 55,333033.0,439.0,17.83252446277699,50.434544,7.404839,50.35093,7.588345
13,Andernach,Remagen,29800,163320,304313,1,IC 55,643257.0,448.0,20.54125150722777,50.434544,7.404839,50.577213,7.229779
14,Angermünde,Eberswalde Hbf,18588,66146,288158,8,ICE 15,338801.0,423.0,25.602792377838647,53.01574,13.995672,52.833805,13.796755
15,Angermünde,Pasewalk,18498,529845,246924,9,ICE 15,256731.0,332.0,62.79088322716178,53.015793,13.995908,53.51519,13.988988
16,Angermünde,Prenzlau,18364,227524,246924,14,ICE 15,236141.0,567.0,39.53173811507827,53.015793,13.995908,53.32162,13.86654
17,Anklam,Pasewalk,18585,66146,133130,5,ICE 15,59346.0,423.0,42.86674655607924,53.85625,13.701518,53.515354,13.988875
18,Anklam,Züssow,18367,227524,218337,17,ICE 15,640306.0,567.0,16.586847141684455,53.8563,13.701554,53.972515,13.550179
19,Ansbach,Crailsheim,22439,11312,635872,1,IC 61,582256.0,175.0,46.97769554798477,49.29889,10.577582,49.138126,10.064572
20,Ansbach Bahnhof,Nürnberg Hbf,22654,42716,594107,6,IC 61,153978.0,126.0,43.67732192969221,49.299145,10.578166,49.44801,11.082327
21,Ansbach Bahnhof,Steinach(bei Rothenburg ob der Tauber),36427,550619,248388,10,IC 24,219233.0,449.0,32.33492987285697,49.299046,10.578031,49.453003,10.274113
22,Ansbach Bahnhof,Treuchtlingen,37893,114298,549297,9,ICE 24,651872.0,420.0,51.48035109260355,49.299004,10.578067,48.96105,10.907919
23,Ansbach Bahnhof,Würzburg Hbf,38363,877333,248388,11,ICE 24,129201.0,485.0,89.3801647687285,49.299046,10.578031,49.80226,9.936041
24,Aschaffenburg Hbf,Frankfurt(Main)Hbf,16205,2305,111809,2,ICE 41,463665.0,229.0,45.91930597514256,49.980797,9.14343,50.1062,8.663011
25,Aschaffenburg Hbf,Frankfurt(Main)Süd,17279,72577,111809,3,ICE 41,273266.0,306.0,41.506192614582645,49.980797,9.14343,50.099205,8.685283
26,Aschaffenburg Hbf,Fulda,3385,1500027,238166,9,ICE 12,543565.0,559.0,100.79531371331112,49.980556,9.143697,50.555016,9.683904
27,Aschaffenburg Hbf,Hanau Hbf,32370,116386,111809,5,ICE 91,586880.0,244.0,23.117841122763107,49.980797,9.14343,50.121346,8.928415
28,Aschaffenburg Hbf,Würzburg Hbf,16117,18399,588574,8,ICE 41,376538.0,255.0,78.1747444871136,49.98065,9.14343,49.802,9.935924
29,Augsburg Hbf,Ansbach Bahnhof,38005,1294391,644766,1,ICE 24,248388.0,365.0,127.56535009781228,48.365673,10.885892,49.299046,10.578031
30,Augsburg Hbf,Donauwörth,22067,49178,644766,2,ICE 18,29233.0,284.0,41.55209544583551,48.365673,10.885892,48.71413,10.771654
31,Augsburg Hbf,Günzburg,23005,11567,644766,2,ICE 11,250154.0,199.0,61.01632193101428,48.365673,10.885892,48.460575,10.279224
32,Augsburg Hbf,München Hbf,37896,114298,232820,12,ICE 24,36165.0,420.0,61.72233237076584,48.3656,10.885713,48.13994,11.557491
33,Augsburg Hbf,München Ost,21422,220176,232820,10,ICE 89,466399.0,409.0,66.68662722419582,48.3656,10.885713,48.127304,11.605533
34,Augsburg Hbf,Nürnberg Hbf,13830,241173,232820,1,ICE 25,656568.0,462.0,137.95002615020806,48.3656,10.885713,49.44541,11.082291
35,Augsburg Hbf,Pasing,12137,5903,232820,11,ICE 47,343720.0,309.0,54.24459311874946,48.3656,10.885713,48.149197,11.459296
36,Augsburg Hbf,Ulm Hbf,7073,28736,644766,2,ICE 42,320992.0,488.0,85.17346877241476,48.365673,10.885892,48.399345,9.982933
37,Augsburg Hbf,Würzburg Hbf,21444,80172,578414,3,ICE 89,376538.0,412.0,216.1839308313235,48.365532,10.885533,49.802,9.935924
38,Augustfehn,Leer(Ostfriesl),20551,3827,473921,16,IC 56,133077.0,304.0,23.11485665504408,53.220943,7.759614,53.231438,7.46537
39,Augustfehn,Westerstede-Ocholt,20674,4360,158352,6,IC 56,143014.0,333.0,8.323085860722019,53.220844,7.75963,53.202248,7.886519
40,Bad Bentheim,Bad Bentheim(Gr),41882,87697,180734,7,IC 77,259956.0,224.0,8.275775953749875,52.309853,7.157776,52.3091,7.04016
41,Bad Bentheim,Rheine,41853,80464,100840,2,IC 77,369247.0,213.0,21.551672066073245,52.30978,7.157785,52.275837,7.434987
42,Bad Bentheim(Gr),Bad Bentheim,41852,80464,259956,1,IC 77,100840.0,213.0,8.275775953749871,52.3091,7.04016,52.30978,7.157785
43,Bad Bevensen,Lüneburg,37233,334682,33275,3,ICE 26,618982.0,260.0,22.306266423525678,53.078274,10.574201,53.249535,10.419739
44,Bad Bevensen,Uelzen,38172,236847,89309,5,ICE 24,285305.0,159.0,12.788862321087624,53.07822,10.574081,52.969658,10.553415
45,Bad Endorf,Prien Prien Bahnhof,31926,211206,456439,12,IC 62,12196.0,305.0,10.032223641790694,47.90459,12.302679,47.85454,12.346697
46,"Bad Endorf, Bahnhof",Rosenheim,36420,550619,507883,3,IC 24,554137.0,449.0,17.25950175173233,47.904682,12.302545,47.850994,12.118372
47,Bad Hersfeld,Eisenach Hbf,24639,140114,294008,4,ICE 50,456782.0,288.0,55.17765812449147,50.869633,9.716182,50.975952,10.331229
